epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,421.76,0.67153,1.07187,0.30852,0.82059,0.29009,0.285,0.14075,0.671,0.82391,0.33683,4.99273e-05,4.99273e-05,0.0501226
2,830.528,0.56456,0.65858,0.24799,0.74445,0.44726,0.45538,0.30929,0.41673,0.60217,0.20602,9.98862e-05,9.98862e-05,0.000172561
3,1239.04,0.46555,0.60467,0.21604,0.69527,0.52316,0.52426,0.3646,0.40107,0.52886,0.2008,9.98395e-05,9.98395e-05,9.98395e-05
4,1647.66,0.43664,0.56175,0.20495,0.71516,0.54633,0.55505,0.38334,0.38316,0.50941,0.18469,9.96482e-05,9.96482e-05,9.96482e-05
5,2056.21,0.43313,0.53905,0.19971,0.79763,0.55425,0.59622,0.40771,0.3766,0.49274,0.18114,9.93751e-05,9.93751e-05,9.93751e-05
6,2464.42,0.41791,0.51747,0.19163,0.65252,0.58745,0.60475,0.42259,0.38187,0.45901,0.1943,9.90247e-05,9.90247e-05,9.90247e-05
7,2872.61,0.42513,0.50663,0.18834,0.64159,0.60355,0.60999,0.4315,0.37124,0.45655,0.17558,9.85976e-05,9.85976e-05,9.85976e-05
8,3281.13,0.40906,0.49295,0.18523,0.67709,0.60848,0.62652,0.44218,0.37074,0.45638,0.17308,9.80945e-05,9.80945e-05,9.80945e-05
9,3689.43,0.41323,0.48322,0.18328,0.65808,0.60399,0.63058,0.4544,0.36533,0.44679,0.17504,9.75161e-05,9.75161e-05,9.75161e-05
10,4098.21,0.39336,0.4746,0.17973,0.70369,0.63363,0.65106,0.46658,0.36842,0.44291,0.18508,9.69405e-05,9.69405e-05,9.69405e-05
11,4507.41,0.38903,0.47135,0.17551,0.68281,0.63816,0.65805,0.47301,0.36935,0.4369,0.17839,9.6232e-05,9.6232e-05,9.6232e-05
12,4916.75,0.39291,0.46687,0.17537,0.75915,0.64311,0.68919,0.49327,0.35786,0.43187,0.16614,9.54531e-05,9.54531e-05,9.54531e-05
13,5325.46,0.3835,0.46144,0.17269,0.74451,0.64762,0.67986,0.48026,0.36507,0.42717,0.17832,9.46048e-05,9.46048e-05,9.46048e-05
14,5733.76,0.38193,0.45107,0.16941,0.7083,0.66442,0.6815,0.49102,0.3591,0.42845,0.17004,9.36886e-05,9.36886e-05,9.36886e-05
15,6142.1,0.3855,0.44517,0.16805,0.76055,0.6551,0.70298,0.50208,0.36021,0.41248,0.1729,9.27057e-05,9.27057e-05,9.27057e-05
16,6551.12,0.37571,0.44555,0.16588,0.75382,0.68544,0.70817,0.50211,0.36477,0.41921,0.18134,9.16577e-05,9.16577e-05,9.16577e-05
17,6959.64,0.38238,0.44355,0.1644,0.7686,0.65989,0.70315,0.50425,0.36032,0.41485,0.17625,9.05463e-05,9.05463e-05,9.05463e-05
18,7368.25,0.37341,0.43776,0.16235,0.78016,0.66838,0.71259,0.51257,0.3562,0.41478,0.16517,8.93732e-05,8.93732e-05,8.93732e-05
19,7777.22,0.36813,0.43213,0.16267,0.7741,0.65911,0.71007,0.5136,0.35772,0.40492,0.1714,8.81401e-05,8.81401e-05,8.81401e-05
20,8186.16,0.36732,0.43341,0.16087,0.78124,0.67885,0.71606,0.51172,0.35913,0.40311,0.17108,8.6849e-05,8.6849e-05,8.6849e-05
21,8594.01,0.36391,0.42406,0.15684,0.80347,0.67359,0.72761,0.52166,0.35875,0.40177,0.16825,8.55018e-05,8.55018e-05,8.55018e-05
22,9002.89,0.36584,0.42298,0.15564,0.76337,0.67176,0.71499,0.51094,0.35827,0.40269,0.1696,8.41006e-05,8.41006e-05,8.41006e-05
23,9411.67,0.35953,0.42239,0.15698,0.7969,0.66544,0.7058,0.51037,0.3593,0.41136,0.17091,8.26477e-05,8.26477e-05,8.26477e-05
24,9820.52,0.35627,0.41891,0.15546,0.81513,0.6592,0.71919,0.51318,0.36075,0.40253,0.17631,8.11452e-05,8.11452e-05,8.11452e-05
25,10229.3,0.35642,0.41691,0.15404,0.79373,0.69115,0.73262,0.52436,0.35577,0.40195,0.16911,7.95954e-05,7.95954e-05,7.95954e-05
26,10638,0.35837,0.41589,0.14894,0.79997,0.68266,0.72668,0.52112,0.35984,0.39983,0.17292,7.80007e-05,7.80007e-05,7.80007e-05
27,11047.2,0.3485,0.41224,0.15055,0.81255,0.68695,0.73332,0.52288,0.35628,0.39786,0.17279,7.63637e-05,7.63637e-05,7.63637e-05
28,11455.9,0.35905,0.4098,0.15441,0.77499,0.69267,0.72632,0.52387,0.36018,0.39945,0.16969,7.46868e-05,7.46868e-05,7.46868e-05
